trial_id,timestamp,candidate_id,formula_id,division,instrument_set,horizon,params_hash,partition,n_trades,eff_n,ic,t_stat,p_raw,p_effN,expectancy_bps,sharpe,max_dd,capture_ratio,status,notes
1,2026-08-22T01:41:48.938647+00:00,X10_POT_GPD_u95_p0.99_ksl4.76,X10,X,XAUUSD,H60,,screen,5855,,,-13.71,,,-1.81,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
2,2026-08-22T01:41:48.938647+00:00,X21_SHIRYAEV_ROBERTS_A10,X21,X,XAUUSD,,,screen,4000,,,-13.66,,,-2.51,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
3,2026-08-22T01:41:48.938647+00:00,X21_SHIRYAEV_ROBERTS_A30,X21,X,XAUUSD,,,screen,4000,,,-12.11,,,-2.56,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
4,2026-08-22T01:41:48.938647+00:00,X22_CUSUM_h3,X22,X,XAUUSD,H60,,screen,4000,,,-12.15,,,-2.59,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
5,2026-08-22T01:41:48.938647+00:00,X32_VOL_TARGETING_tv50,X32,X,XAUUSD,H60,,screen,8000,,,-3.58,,,-2.59,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
6,2026-08-22T01:41:48.938647+00:00,X32_VOL_TARGETING_tv100,X32,X,XAUUSD,H60,,screen,8000,,,-3.58,,,-2.59,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
7,2026-08-22T01:41:48.938647+00:00,X32_VOL_TARGETING_tv150,X32,X,XAUUSD,H60,,screen,8000,,,-3.58,,,-2.59,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
8,2026-08-22T01:41:48.938647+00:00,X22_CUSUM_h5,X22,X,XAUUSD,H60,,screen,4000,,,-10.71,,,-2.64,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
9,2026-08-22T01:41:48.938647+00:00,X21_SHIRYAEV_ROBERTS_A100,X21,X,XAUUSD,,,screen,4000,,,-11.40,,,-2.67,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
10,2026-08-22T01:41:48.938647+00:00,X33_DRAWDOWN_CONSTRAINED_g2.0_fmax1.0,X33,X,XAUUSD,H60,,screen,8000,,,-21.65,,,-2.71,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
11,2026-08-22T01:41:48.938647+00:00,X33_DRAWDOWN_CONSTRAINED_g1.0_fmax1.0,X33,X,XAUUSD,H60,,screen,8000,,,-17.51,,,-2.74,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
12,2026-08-22T01:41:48.938647+00:00,X22_CUSUM_h8,X22,X,XAUUSD,H60,,screen,4000,,,-10.40,,,-2.76,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
13,2026-08-22T01:41:48.938647+00:00,X23_ULTIMATE_MAX_c0.2,X23,X,XAUUSD,H60,,screen,4000,,,-9.74,,,-2.82,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
14,2026-08-22T01:41:48.938647+00:00,X23_ULTIMATE_MAX_c0.35,X23,X,XAUUSD,H60,,screen,4000,,,-9.74,,,-2.82,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
15,2026-08-22T01:41:48.938647+00:00,X23_ULTIMATE_MAX_c0.5,X23,X,XAUUSD,H60,,screen,4000,,,-9.74,,,-2.82,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
16,2026-08-22T01:41:48.938647+00:00,X33_DRAWDOWN_CONSTRAINED_g2.0_fmax0.5,X33,X,XAUUSD,H60,,screen,8000,,,-45.58,,,-2.86,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
17,2026-08-22T01:41:48.938647+00:00,X06_VERTICAL_ONLY_BASELINE,X06,X,XAUUSD,H60,,screen,8000,,,-11.88,,,-2.86,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
18,2026-08-22T01:41:48.938647+00:00,X10_POT_GPD_u90_p0.95_ksl2.14,X10,X,XAUUSD,H60,,screen,6507,,,-32.58,,,-2.86,,,,"EVALUATED_NOL_LOLOS_OR_PENDING (5/15 checks, F5)",
